"metric","field","direction","method","n","median","q1","q3","mean","std"
"geometry","corner_rmse_px","lower","proposed","45","191.82797813415527","3.560397446155548","206.26935958862305","234.58963398580195","315.2061023817648"
"geometry","quad_iou","higher","proposed","45","0.8486554019093623","0.8186776252966962","0.9957726298166587","0.8234470501035953","0.1914821719821919"
"geometry","aspect_relative_error","lower","proposed","45","0.007948878868291947","0.0011310202070894543","0.03210842198192434","0.013403478990278479","0.013283691752881797"
"temporal","translation_px","lower","proposed","50","0.25447966479331585","0.026402502109331445","3.410820921239291","1.654994165261324","1.8887571858064467"
"temporal","rotation_abs_deg","lower","proposed","50","0.0005454107895745009","8.753302258629587E-05","0.010742709754997925","0.005469057322461053","0.007455417883062588"
"temporal","scale_abs_delta","lower","proposed","50","7.363171852204349E-05","5.828522185010015E-06","0.0005061282052028132","0.0003293313259695382","0.00047426277677877176"
"detail","edge_preservation_index","higher","proposed","50","0.3466151432480137","0.19152191283982967","0.7947388316660804","0.4870593145299141","0.2936679425199019"
"detail","gradient_magnitude_ratio","target_one","proposed","50","0.9847493237222895","0.9581577169358205","1.1429289519436545","1.0153467343849873","0.12551038278516088"
"frequency","fft_orthogonality_error_deg","lower","proposed","50","0.5555555555555556","0","1.3333333333333333","1.1311111111111116","1.7208413745993945"
"geometry","corner_rmse_px","lower","no_reliability_gates","45","35.62507629394531","3.6414000391960144","101.52710723876953","165.36360668098484","338.86420019659334"
"geometry","quad_iou","higher","no_reliability_gates","45","0.9683316124772136","0.9185901265332375","0.9956886073824545","0.8857887462018722","0.20138446068734642"
"geometry","aspect_relative_error","lower","no_reliability_gates","45","0.001889309896139287","0.0010947902583428992","0.009269827121531671","0.008551042162569293","0.011450988825341"
"temporal","translation_px","lower","no_reliability_gates","50","6.16479662034398","3.383189742556705","10.404938777095317","6.746336860619668","3.945763841583474"
"temporal","rotation_abs_deg","lower","no_reliability_gates","50","0.023762587991627865","0.01242008463951009","0.06254447008367439","0.03409550356731135","0.025387521921080448"
"temporal","scale_abs_delta","lower","no_reliability_gates","50","0.0018917141369250864","0.0008136590910460491","0.003551450651550578","0.00305126953993718","0.0027140880446461586"
"detail","edge_preservation_index","higher","no_reliability_gates","50","0.551577771115997","0.3262942906434537","0.7778537732486266","0.566313931461317","0.24121646843559413"
"detail","gradient_magnitude_ratio","target_one","no_reliability_gates","50","0.9601365883330824","0.9082302863803484","0.9845928266708668","0.9496424740057994","0.09262318579042067"
"frequency","fft_orthogonality_error_deg","lower","no_reliability_gates","50","0","0","0.1111111111111111","1.04","2.8380100125693137"
"geometry","corner_rmse_px","lower","no_trajectory_smoothing","45","191.82782173156738","2.9437508583068848","206.2693328857422","234.6285248522405","315.3747109451333"
"geometry","quad_iou","higher","no_trajectory_smoothing","45","0.8486554019093623","0.8186776252966962","0.9964474674707164","0.8234794414804496","0.19158326476810653"
"geometry","aspect_relative_error","lower","no_trajectory_smoothing","45","0.007948766807080685","0.0010891942866332845","0.032108338502069365","0.013421778549987105","0.013288330590080822"
"temporal","translation_px","lower","no_trajectory_smoothing","50","0.6170770685614222","0.040022547759924317","3.6573142946382244","1.7970968280497166","1.969524254225795"
"temporal","rotation_abs_deg","lower","no_trajectory_smoothing","50","0.002809124811476335","0.0001770470013818471","0.011924867885326613","0.0070637672412625155","0.009236094059414779"
"temporal","scale_abs_delta","lower","no_trajectory_smoothing","50","0.0002758656644552794","1.4362033369130778E-05","0.0007244815498367376","0.00044361266044567804","0.0005853332862676328"
"detail","edge_preservation_index","higher","no_trajectory_smoothing","50","0.3819214452299753","0.24674931454725377","0.9206204908586842","0.5506359636266112","0.31526182039766865"
"detail","gradient_magnitude_ratio","target_one","no_trajectory_smoothing","50","0.9880618285838432","0.9649931927340276","1.1442382030270022","1.0153208205824558","0.12566489630911365"
"frequency","fft_orthogonality_error_deg","lower","no_trajectory_smoothing","50","0.7777777777777778","0","1.3333333333333333","1.1333333333333335","1.580939631490633"
"geometry","corner_rmse_px","lower","no_offline_repair","45","191.82797813415527","3.560397446155548","206.26935958862305","234.58695555969518","315.2031155241375"
"geometry","quad_iou","higher","no_offline_repair","45","0.8486554019093623","0.8186776252966962","0.9957726298166587","0.8234485524442754","0.19148009201973915"
"geometry","aspect_relative_error","lower","no_offline_repair","45","0.007948878868291947","0.0011310202070894543","0.03210842198192434","0.013404099766191963","0.013283934921882734"
"temporal","translation_px","lower","no_offline_repair","50","0.25447966479331585","0.026402502109331445","3.410820921239291","1.6554949975452957","1.888477697632429"
"temporal","rotation_abs_deg","lower","no_offline_repair","50","0.0005969534397640695","8.753302258629587E-05","0.010742709754997925","0.005471052760337151","0.007454125151563012"
"temporal","scale_abs_delta","lower","no_offline_repair","50","7.363171852204349E-05","5.828522185010015E-06","0.0005061282052028132","0.0003296059227731057","0.00047422768651802133"
"detail","edge_preservation_index","higher","no_offline_repair","50","0.3466151432480137","0.19152191283982967","0.7947388316660804","0.4873792813102624","0.2933117325296851"
"detail","gradient_magnitude_ratio","target_one","no_offline_repair","50","0.9847493237222895","0.9581577169358205","1.1429289519436545","1.0153315225445005","0.12553307068120168"
"frequency","fft_orthogonality_error_deg","lower","no_offline_repair","50","0.5555555555555556","0","1.3333333333333333","1.1311111111111116","1.7208413745993945"
